q0,q1,q2,q3,q4,q5
-0.1396263401595554,0.4188790204786667,0.0698131700797778,0.4188790204786667,-0.9773843811168887,0.977384381116889
-0.1396381418031741,0.4188835589596887,0.0698118015400201,0.4188805469536358,-0.97737766080773,0.9773669132900616
-0.139719332884503,0.4189147820836597,0.0698023864766306,0.4188910485547147,-0.9773314274876016,0.9772467408976052
-0.1399354354925018,0.4189978872524733,0.0697773268306739,0.4189190001886155,-0.9772083703624516,0.9769268835069386
-0.1403478312089178,0.4191564795802019,0.0697295046838561,0.4189723412111706,-0.9769735364020644,0.9763164891253228
-0.141013847368853,0.4194126050657596,0.0696522722555945,0.4190584865846434,-0.9765942812199816,0.9753307065240322
-0.1419868433213308,0.4197867837655653,0.0695394419000881,0.4191843380350375,-0.9760402199534224,0.9738905575625232
-0.1433162966898629,0.4202980429662051,0.069385276103387,0.419356295209407,-0.9752831781432024,0.9719228095126056
-0.1450478896330164,0.4209639503570959,0.0691844774804627,0.4195802668331665,-0.9742971426136552,0.9693598473826108
-0.1472235951049806,0.4218006472031479,0.0689321787722781,0.4198616818674014,-0.973058212352551,0.9661395462415636
-0.1498817631161342,0.4228228815174279,0.0686239328428572,0.4202055006661773,-0.9715445493910178,0.9622051435433504
-0.1530572069936116,0.4240440412338219,0.0682557026763553,0.4206162261338503,-0.9697363296834612,0.9575051114508908
-0.1567812896418705,0.4254761873796981,0.0678238513741291,0.4210979148823771,-0.9676156939874836,0.951993029160306
-0.1610820098032586,0.4271300872485701,0.0673251321518061,0.4216541883886247,-0.9651666987438056,0.9456274552250896
-0.1659840883185801,0.4290152475727596,0.0667566783363553,0.4222882441516807,-0.9623752669561854,0.938371799880278
-0.1715090543876634,0.4311399476960595,0.0661159933631566,0.4230028668501629,-0.9592291390713384,0.930194197366619
-0.1776753318299275,0.4335112727463965,0.0654009407730711,0.4238004394995298,-0.9557178238588578,0.9210673782547428
-0.1844983253449489,0.4361351468084947,0.0646097342095109,0.4246829546093901,-0.9518325492911354,0.9109685417693314
