tau1,tau2,tau3,tau4,tau5,tau6
0.0,-139.19833850856392,-25.55556533605995,5.16571232776672,3.885780586188048e-16,8.881784197001252e-16
-2.290859114275184,-138.4961985384094,-25.30680318773337,5.1720761736817265,0.0021954763400311708,-0.0017019067884531847
-4.442558052942094,-137.83435683952627,-25.072347274184196,5.177957915681676,0.004257931964477653,-0.0033005839404872425
-6.457180844424183,-137.20946922315582,-24.850975187706663,5.183248033652325,0.006190175215907346,-0.004797940275990189
-8.336439491329319,-136.61799827179195,-24.641338294175537,5.187818571769316,0.007995066491914088,-0.006195786570083767
-10.081771467150935,-136.05628308099216,-24.442000964198847,5.191528519972359,0.009675511452291148,-0.007495859818010587
-11.694426564270827,-135.52060046722835,-24.251475673991447,5.194228589599722,0.011234455857591892,-0.008699843958533886
-13.175543636151982,-135.0072181844232,-24.068254192765018,5.195765419103967,0.012674881961842093,-0.009809387228211055
-14.526217852070035,-134.51244076446108,-23.890835084189312,5.195985249272465,0.013999806256441788,-0.010826116430183942
-15.74755913248286,-134.03264864293308,-23.717747755785698,5.194737109613613,0.015212278272314271,-0.011751648477602617
-16.840742460244083,-133.5643312537924,-23.54757329240168,5.191875558645884,0.016315380089019896,-0.012587599617882526
-17.807050770132776,-133.10411477829834,-23.37896230855871,5.187263020839718,0.017312226169107173,-0.01333559276529668
-18.647911109253474,-132.6487852173435,-23.210650049852287,5.180771762011029,0.01820596312950232,-0.013997263369830778
-19.364924736331453,-132.19530742462783,-23.04146896611166,5.172285543155402,0.01899976907615234,-0.0145742642340446
-19.959891791291525,-131.74084069376946,-22.87035896910811,5.161700990164211,0.01969685215997257,-0.015068269660327559
-20.434831120231554,-131.28275143790546,-22.696375575679497,5.148928713703389,0.020300448058535266,-0.01548097927125449
-20.79199578737703,-130.81862343815666,-22.518696123665094,5.133894209901966,0.020813816145841685,-0.015814121798935734
-21.0338847471509,-130.34626606997676,-22.336624233485583,5.116538568533538,0.021240234179763978,-0.01606945908684446
-21.16325108832145,-129.86372084623306,-22.14959267301674,5.096819011222981,0.021582991410283355,-0.01624879049225691
-21.183107200376014,-129.36926654511126,-21.95716476804578,5.074709278020725,0.02184538008986066,-0.01635395782017718
-21.096727151725077,-128.86142312167124,-21.7590344854896,5.050199876591801,0.02203068544742495,-0.016386850862220803
-20.90764651179282,-128.33895453598632,-21.55502530209412,5.023298204399495,0.02214217426769981,-0.016349413557331806
-20.61965979601981,-127.80087056994579,-21.345087957872003,4.994028550736434,0.022183082295536786,-0.016243650736594315
-20.236815665578625,-127.24642765042175,-21.129297181383016,4.962431982373691,0.022156600758506024,-0.01607163536265412
-19.76340997324229,-126.67512864978498,-20.907847463361673,4.928566114039736,0.022065862367602537,-0.015835516126311344
-19.20397671414968,-126.08672159661927,-20.681047946347164,4.892504762971896,0.02191392721331356,-0.015537525219517321
-18.563276915737067,-125.48119720058563,-20.449316490999493,4.8543374854421675,0.021703769020118346,-0.015179986066237529
-17.84628548514955,-124.85878507611127,-20.21317297475706,4.814168992467838,0.021438262253809234,-0.0147653207612907
-17.058176025060927,-124.21994854004073,-19.97323187541824,4.772118441873754,0.021120170591310407,-0.014296056942930875
-16.204303629828104,-123.56537785844397,-19.73019419104945,4.728318604452212,0.020752137259254757,-0.013774833808966335
-15.290185682863422,-122.8959818270321,-19.484838748230807,4.682914903126057,0.020336677724165617,-0.013204406978614372
-14.321480692393788,-122.21287758745378,-19.238012952879217,4.6360643256976415,0.019876175172941584,-0.012587651904287702
